Phase,Adherence,Plan
follicular,1,protein_diet
luteal,1,heavy_workout
menstrual,1,iron_diet
luteal,0,carb_diet
ovulatory,0,carb_diet
ovulatory,0,heavy_workout
follicular,1,moderate_workout
menstrual,1,heavy_workout
follicular,0,carb_diet
luteal,0,magnesium_diet
menstrual,0,protein_diet
menstrual,1,protein_diet
menstrual,0,carb_diet
ovulatory,1,carb_diet
luteal,0,magnesium_diet
luteal,0,moderate_workout
menstrual,1,carb_diet
ovulatory,0,moderate_workout
menstrual,0,heavy_workout
ovulatory,1,carb_diet
follicular,1,hiit
follicular,1,light_workout
ovulatory,1,moderate_workout
luteal,1,iron_diet
ovulatory,1,iron_diet
luteal,0,carb_diet
luteal,0,heavy_workout
follicular,1,moderate_workout
ovulatory,0,carb_diet
follicular,0,carb_diet
luteal,1,moderate_workout
menstrual,0,light_workout
menstrual,1,magnesium_diet
ovulatory,1,moderate_workout
ovulatory,0,protein_diet
luteal,0,light_workout
ovulatory,0,carb_diet
follicular,1,heavy_workout
follicular,1,protein_diet
follicular,1,magnesium_diet
luteal,1,hiit
menstrual,0,light_workout
ovulatory,0,iron_diet
luteal,0,iron_diet
menstrual,1,magnesium_diet
luteal,1,magnesium_diet
ovulatory,1,light_workout
luteal,0,protein_diet
ovulatory,0,moderate_workout
menstrual,0,hiit
follicular,0,heavy_workout
ovulatory,1,light_workout
luteal,0,heavy_workout
luteal,0,heavy_workout
ovulatory,0,magnesium_diet
ovulatory,1,magnesium_diet
luteal,0,heavy_workout
follicular,1,moderate_workout
luteal,1,carb_diet
follicular,1,heavy_workout
luteal,0,heavy_workout
ovulatory,0,heavy_workout
ovulatory,0,carb_diet
menstrual,1,hiit
menstrual,0,protein_diet
follicular,0,iron_diet
ovulatory,1,hiit
luteal,1,protein_diet
follicular,0,moderate_workout
follicular,1,magnesium_diet
follicular,1,carb_diet
follicular,1,carb_diet
follicular,0,hiit
follicular,0,protein_diet
luteal,0,carb_diet
luteal,1,light_workout
luteal,0,magnesium_diet
luteal,0,heavy_workout
follicular,0,moderate_workout
luteal,0,moderate_workout
ovulatory,1,iron_diet
menstrual,0,iron_diet
ovulatory,0,hiit
ovulatory,1,hiit
luteal,0,carb_diet
menstrual,1,protein_diet
luteal,0,carb_diet
follicular,1,protein_diet
follicular,1,carb_diet
follicular,1,iron_diet
luteal,1,moderate_workout
ovulatory,0,carb_diet
menstrual,1,hiit
ovulatory,0,magnesium_diet
ovulatory,0,carb_diet
follicular,1,carb_diet
follicular,1,protein_diet
menstrual,0,hiit
luteal,1,iron_diet
luteal,0,magnesium_diet
menstrual,0,moderate_workout
luteal,1,carb_diet
menstrual,1,heavy_workout
menstrual,1,protein_diet
ovulatory,1,magnesium_diet
luteal,0,hiit
menstrual,0,iron_diet
ovulatory,0,moderate_workout
follicular,1,heavy_workout
ovulatory,1,carb_diet
ovulatory,1,light_workout
follicular,0,protein_diet
menstrual,0,protein_diet
luteal,1,carb_diet
menstrual,0,hiit
luteal,0,carb_diet
menstrual,1,protein_diet
menstrual,0,light_workout
menstrual,0,protein_diet
follicular,0,iron_diet
ovulatory,1,moderate_workout
follicular,0,carb_diet
follicular,0,carb_diet
menstrual,1,light_workout
luteal,0,hiit
ovulatory,0,light_workout
luteal,1,moderate_workout
menstrual,1,protein_diet
follicular,1,moderate_workout
ovulatory,1,heavy_workout
menstrual,1,carb_diet
ovulatory,1,hiit
ovulatory,1,carb_diet
follicular,1,heavy_workout
ovulatory,0,hiit
luteal,1,moderate_workout
menstrual,1,heavy_workout
follicular,1,light_workout
follicular,1,hiit
menstrual,1,magnesium_diet
follicular,0,magnesium_diet
ovulatory,1,moderate_workout
menstrual,0,light_workout
menstrual,1,hiit
follicular,0,moderate_workout
ovulatory,0,protein_diet
menstrual,1,moderate_workout
follicular,0,iron_diet
menstrual,1,moderate_workout
menstrual,0,iron_diet
luteal,0,light_workout
ovulatory,1,magnesium_diet
luteal,1,hiit
luteal,0,hiit
ovulatory,1,protein_diet
ovulatory,1,moderate_workout
follicular,1,magnesium_diet
ovulatory,0,hiit
luteal,0,protein_diet
luteal,0,iron_diet
menstrual,1,light_workout
menstrual,0,protein_diet
luteal,1,hiit
luteal,1,heavy_workout
menstrual,1,iron_diet
luteal,1,magnesium_diet
ovulatory,1,moderate_workout
luteal,0,heavy_workout
luteal,0,protein_diet
menstrual,1,iron_diet
menstrual,1,magnesium_diet
follicular,1,magnesium_diet
menstrual,1,magnesium_diet
luteal,1,magnesium_diet
menstrual,0,carb_diet
ovulatory,1,hiit
luteal,0,light_workout
menstrual,0,hiit
luteal,1,magnesium_diet
menstrual,1,carb_diet
follicular,0,heavy_workout
menstrual,0,moderate_workout
menstrual,1,iron_diet
follicular,0,light_workout
luteal,1,iron_diet
follicular,0,hiit
luteal,1,carb_diet
ovulatory,1,heavy_workout
follicular,1,heavy_workout
luteal,1,iron_diet
ovulatory,0,moderate_workout
ovulatory,1,heavy_workout
ovulatory,1,protein_diet
follicular,1,protein_diet
ovulatory,1,magnesium_diet
ovulatory,0,heavy_workout
ovulatory,0,magnesium_diet
menstrual,0,magnesium_diet
follicular,1,heavy_workout
ovulatory,0,magnesium_diet
ovulatory,1,moderate_workout
ovulatory,1,iron_diet
follicular,0,protein_diet
menstrual,1,hiit
luteal,1,carb_diet
ovulatory,0,carb_diet
follicular,0,hiit
luteal,1,iron_diet
menstrual,1,moderate_workout
menstrual,0,hiit
follicular,1,light_workout
luteal,0,protein_diet
menstrual,0,hiit
ovulatory,0,protein_diet
follicular,1,magnesium_diet
menstrual,0,protein_diet
ovulatory,0,light_workout
follicular,1,iron_diet
follicular,0,light_workout
follicular,1,carb_diet
luteal,1,carb_diet
luteal,1,moderate_workout
follicular,0,moderate_workout
follicular,1,moderate_workout
follicular,0,light_workout
menstrual,1,heavy_workout
luteal,1,moderate_workout
follicular,1,hiit
ovulatory,1,protein_diet
luteal,0,light_workout
menstrual,1,carb_diet
follicular,1,hiit
menstrual,0,carb_diet
menstrual,1,heavy_workout
follicular,0,magnesium_diet
menstrual,1,moderate_workout
ovulatory,0,light_workout
follicular,0,moderate_workout
follicular,1,carb_diet
menstrual,0,hiit
menstrual,0,carb_diet
luteal,0,protein_diet
luteal,1,protein_diet
luteal,1,light_workout
ovulatory,0,moderate_workout
follicular,1,heavy_workout
follicular,0,heavy_workout
luteal,0,magnesium_diet
ovulatory,0,hiit
ovulatory,1,magnesium_diet
ovulatory,1,magnesium_diet
luteal,0,light_workout
menstrual,1,moderate_workout
luteal,0,heavy_workout
luteal,1,moderate_workout
menstrual,0,protein_diet
menstrual,0,magnesium_diet
luteal,0,heavy_workout
menstrual,0,iron_diet
ovulatory,0,iron_diet
luteal,1,hiit
ovulatory,0,heavy_workout
luteal,0,heavy_workout
menstrual,0,carb_diet
luteal,0,light_workout
ovulatory,1,protein_diet
luteal,1,iron_diet
luteal,1,light_workout
ovulatory,1,heavy_workout
menstrual,1,hiit
ovulatory,1,light_workout
ovulatory,0,moderate_workout
follicular,1,carb_diet
ovulatory,1,moderate_workout
follicular,1,moderate_workout
menstrual,0,carb_diet
menstrual,1,hiit
follicular,1,moderate_workout
follicular,0,protein_diet
luteal,0,light_workout
follicular,0,heavy_workout
luteal,0,light_workout
luteal,0,iron_diet
ovulatory,0,protein_diet
ovulatory,0,protein_diet
luteal,0,heavy_workout
ovulatory,0,iron_diet
luteal,1,protein_diet
ovulatory,1,moderate_workout
luteal,1,protein_diet
luteal,1,heavy_workout
luteal,0,protein_diet
luteal,0,iron_diet
menstrual,1,light_workout
follicular,0,moderate_workout
menstrual,1,light_workout
menstrual,0,light_workout
follicular,0,heavy_workout
follicular,0,iron_diet
follicular,0,hiit
menstrual,1,light_workout
luteal,1,carb_diet
luteal,1,light_workout
ovulatory,0,carb_diet
ovulatory,0,protein_diet
luteal,0,carb_diet
ovulatory,1,iron_diet
follicular,0,moderate_workout
ovulatory,1,carb_diet
menstrual,1,carb_diet
menstrual,1,carb_diet
luteal,1,hiit
follicular,0,iron_diet
menstrual,0,magnesium_diet
follicular,1,moderate_workout
menstrual,1,protein_diet
ovulatory,0,iron_diet
menstrual,1,hiit
menstrual,0,heavy_workout
luteal,0,carb_diet
luteal,1,heavy_workout
follicular,0,light_workout
follicular,0,protein_diet
luteal,1,iron_diet
luteal,0,light_workout
menstrual,0,light_workout
menstrual,0,moderate_workout
luteal,1,light_workout
follicular,0,protein_diet
menstrual,1,iron_diet
ovulatory,0,heavy_workout
menstrual,0,moderate_workout
ovulatory,1,heavy_workout
follicular,1,iron_diet
follicular,0,iron_diet
follicular,0,hiit
menstrual,1,protein_diet
follicular,1,carb_diet
menstrual,0,light_workout
ovulatory,1,protein_diet
ovulatory,0,moderate_workout
luteal,0,light_workout
menstrual,0,iron_diet
luteal,1,magnesium_diet
ovulatory,0,moderate_workout
follicular,1,moderate_workout
menstrual,0,protein_diet
ovulatory,0,moderate_workout
menstrual,0,iron_diet
menstrual,0,iron_diet
luteal,0,light_workout
menstrual,0,magnesium_diet
follicular,1,iron_diet
menstrual,1,iron_diet
ovulatory,0,protein_diet
luteal,1,iron_diet
luteal,0,carb_diet
follicular,0,hiit
ovulatory,0,carb_diet
luteal,1,iron_diet
ovulatory,0,heavy_workout
menstrual,0,heavy_workout
menstrual,1,hiit
menstrual,0,moderate_workout
ovulatory,1,moderate_workout
